"gene","module","MM","GS","absMM","absGS"
"SLC22A18AS","blue",0.95743060199229,-0.746130168877017,0.95743060199229,0.746130168877017
"CAPN5","blue",0.95219181359806,-0.720064730349367,0.95219181359806,0.720064730349367
"LRRC19","blue",0.950114513656938,-0.719316118721215,0.950114513656938,0.719316118721215
"HHLA2","blue",0.947840036415212,-0.747363987432156,0.947840036415212,0.747363987432156
"GOLM1","blue",0.946680940739315,-0.695058767760238,0.946680940739315,0.695058767760238
"DHRS11","blue",0.944738280225154,-0.773601317405169,0.944738280225154,0.773601317405169
"SLC9A2","blue",0.94415285012637,-0.682716220018472,0.94415285012637,0.682716220018472
"ATP8B1","blue",0.942423287338108,-0.699618497757272,0.942423287338108,0.699618497757272
"STYK1","blue",0.942159682450559,-0.741689969812257,0.942159682450559,0.741689969812257
"PKIB","blue",0.94051742540417,-0.740753562982332,0.94051742540417,0.740753562982332
"AHCYL2","blue",0.937450110262911,-0.782780748310155,0.937450110262911,0.782780748310155
"TMEM9B","blue",0.937283635591935,-0.674658401885089,0.937283635591935,0.674658401885089
"APPL2","blue",0.937169148901555,-0.756499241830642,0.937169148901555,0.756499241830642
"SIAE","blue",0.936994695307711,-0.731551404113117,0.936994695307711,0.731551404113117
"CNNM4","blue",0.934879077503609,-0.709492416158428,0.934879077503609,0.709492416158428
"C14orf176","blue",0.934297232598124,-0.76133600672274,0.934297232598124,0.76133600672274
"BCAS1","blue",0.93414959332368,-0.716724601920215,0.93414959332368,0.716724601920215
"ETHE1","blue",0.933794186526202,-0.694707559582142,0.933794186526202,0.694707559582142
"TMEM131","blue",0.933222849430592,-0.732261958761787,0.933222849430592,0.732261958761787
"B3GALT5","blue",0.932992230232277,-0.75283416988547,0.932992230232277,0.75283416988547
"CA4","blue",0.932942763804447,-0.832595802915348,0.932942763804447,0.832595802915348
"FCGBP","blue",0.932532728354727,-0.779686510074299,0.932532728354727,0.779686510074299
"ZBTB7C","blue",0.930588518912467,-0.756532799773705,0.930588518912467,0.756532799773705
"HEPACAM2","blue",0.929900188910519,-0.734207340728209,0.929900188910519,0.734207340728209
"PDZD3","blue",0.929542640051298,-0.751327638866354,0.929542640051298,0.751327638866354
"ITM2C","blue",0.929253233568224,-0.752119927926278,0.929253233568224,0.752119927926278
"SLC22A23","blue",0.928744725874368,-0.702498869923835,0.928744725874368,0.702498869923835
"C15orf48","blue",0.927953287730575,-0.682345497631897,0.927953287730575,0.682345497631897
"PADI2","blue",0.927363081949702,-0.712037493965587,0.927363081949702,0.712037493965587
"CCL28","blue",0.926621045456433,-0.762657154378803,0.926621045456433,0.762657154378803
"BTNL8","blue",0.926049368418954,-0.771223742785423,0.926049368418954,0.771223742785423
"CA1","blue",0.924687918189587,-0.803367632052197,0.924687918189587,0.803367632052197
